Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
"Atkinson, A(0.5)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.148151572
"Atkinson, A(1)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.278223787
"Atkinson, A(2)",Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.498299145
Gini coefficient (no zero income),Argentina (urban),2011,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.426710055
Gini coefficient,Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.413799863
Rate 90/10,Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,7.612471252
Rate 75/25,Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,2.916085755
"Generalized entropy, GE(-1)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.484942829
"Mean log deviation, GE(0)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.308171706
"Theil index, GE(1)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.293477205
"Generalized entropy, GE(2)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.389716813
"Atkinson, A(0.5)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.139060970
"Atkinson, A(1)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.265210860
"Atkinson, A(2)",Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.492356322
Gini coefficient (no zero income),Argentina (urban),2012,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.413234087
Gini coefficient,Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,2013,1,32,1,0.410138578
Rate 90/10,Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,2013,1,32,1,7.595610731
Rate 75/25,Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,2013,1,32,1,2.946246978
"Generalized entropy, GE(-1)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2013,1,32,1,0.462015483
"Mean log deviation, GE(0)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2013,1,32,1,0.300974301
"Theil index, GE(1)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2013,1,32,1,0.287424474
"Generalized entropy, GE(2)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2013,1,32,1,0.386677073
"Atkinson, A(0.5)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,2013,1,32,1,0.136254177
"Atkinson, A(1)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,2013,1,32,1,0.259903208
"Atkinson, A(2)",Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,2013,1,32,1,0.480257845
Gini coefficient (no zero income),Argentina (urban),2013,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2013,1,32,1,0.409284135
Gini coefficient,Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.417012338
Rate 90/10,Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,7.575403510
Rate 75/25,Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,2.982596521
"Generalized entropy, GE(-1)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.452092747
"Mean log deviation, GE(0)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.307386860
"Theil index, GE(1)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.300048520
"Generalized entropy, GE(2)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.418885195
"Atkinson, A(0.5)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.140471318
"Atkinson, A(1)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.264633938
"Atkinson, A(2)",Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.474841079
Gini coefficient (no zero income),Argentina (urban),2014,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.416238220
Gini coefficient,Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.420215045
Rate 90/10,Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,7.707151757
Rate 75/25,Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,2.973251413
"Generalized entropy, GE(-1)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.474207886
"Mean log deviation, GE(0)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.314368355
"Theil index, GE(1)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.305717489
"Generalized entropy, GE(2)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.429478188
"Atkinson, A(0.5)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.143077528
"Atkinson, A(1)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.269750013
"Atkinson, A(2)",Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.486762521
Gini coefficient (no zero income),Argentina (urban),2016,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.419513219
Gini coefficient,Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,9999,1,32,1,0.411997936
Rate 90/10,Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,7.393509681
Rate 75/25,Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,2.890109711
"Generalized entropy, GE(-1)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.449779046
"Mean log deviation, GE(0)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.302093146
"Theil index, GE(1)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.289976356
"Generalized entropy, GE(2)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.382327239
"Atkinson, A(0.5)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.137231807
"Atkinson, A(1)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.260730798
"Atkinson, A(2)",Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.473561770
Gini coefficient (no zero income),Argentina (urban),2017,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.411240657
Gini coefficient,Argentina (urban),2018,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,2018,1,32,1,0.413842494
